taxon,genus,endemism_category,esa_status,nv_state_status,blm_status,usfs_status,natureserve_grank,book_thematic_category,notes,physiographic_region,physiographic_section
Acmispon intricatus,Acmispon,endemic,,,,,,Foothills,Colorado River section Mojave; Valley of Fire; 1 historic collection 1941,Mojave Desert,Colorado River Section
Aliciella heterostyla,Aliciella,endemic,,,,,G3,Deep Loose Sand,Lincoln & Nye cos; Central/Calcareous Mts/Tonopah sections; deep sand dunes 1372-1932m,Central Great Basin,Tonopah Section
Aliciella nyensis,Aliciella,endemic,,,,,G3,Deep Loose Sand,Nye Co only; Tonopah section south into East Mts Mojave; tuff-derived sands 1266-2134m,Central Great Basin,Tonopah Section
Angelica scabrida,Angelica,endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G1,Spring Mountains,Spring Mts Clark Co; Mt Charleston area & Red Rocks; moist drainages/canyon bottoms 1128-2560m,Mojave Desert,East Mountains Section
Antennaria soliceps,Antennaria,endemic,,,,Forest Service Region 4 Sensitive,G1,Spring Mountains,Spring Mts Clark Co; drier soils open screes talus; 2499-3618m,Mojave Desert,East Mountains Section
Asclepias eastwoodiana,Asclepias,endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G2,Foothills Mid-slopes,Esmeralda/Lander/Lincoln/Nye/White Pine cos; Central/Tonopah/Calcareous Mts sections; broad scattered distribution 1417-2134m,Central Great Basin,Tonopah Section
Astragalus ackermanii,Astragalus,endemic,,,,,G2,Cliff-dwelling,Sheep & Pintwater ranges; Clark & Lincoln cos; limestone cliffs/ledges/crevices 1219-1890m,Mojave Desert,East Mountains Section
Astragalus aequalis,Astragalus,endemic,,,,Forest Service Region 4 Sensitive,G2,Spring Mountains,Spring Mts Clark Co; calcareous canyon bottoms/road banks/disturbed areas 1080-2560m,Mojave Desert,East Mountains Section
Astragalus atratus var. atratus,Astragalus,endemic,,,,,,Foothills Mid-slopes,8 counties N & central NV; Lake/Owyhee Uplands/Central/Lahontan/Tonopah/Calcareous Mts sections; 1448-2774m,Northern Great Basin,Owyhee Uplands Section
Astragalus beatleyae,Astragalus,endemic,,,BLM Sensitive,,G2,Foothills,Nye Co; Nevada National Security Site only; Pahute Mesa volcanic tuff 1707-2073m; access restricted,Central Great Basin,Tonopah Section
Astragalus bisulcatus var. nevadensis,Astragalus,endemic,,,,,G5,Foothills Mid-slopes,Eureka/Nye/White Pine cos; Central & Calcareous Mts sections; selenium-scented; 1524-2316m,Central Great Basin,Central / Calcareous Mountains Sections
Astragalus lentiginosus var. kennedyi,Astragalus,endemic,,,,,G5,Deep Loose Sand,7 counties; Lahontan & Tonopah sections; sandy valley bottoms/washes/dunes 1143-1847m,Central Great Basin,Tonopah Section
Astragalus lentiginosus var. latus,Astragalus,endemic,,,BLM Special Status,Forest Service Region 4 Sensitive,G5,Two or Few Mountain Ranges,Monitor/White Pine/Egan/Schell Creek/Snake ranges; Eureka & White Pine cos; 2246-3164m,Central Great Basin,Calcareous Mountains Section
Astragalus oophorus var. clokeyanus,Astragalus,endemic,,,,Forest Service Region 4 Sensitive,G4,Two or Few Mountain Ranges,Belted Range Nye Co & Spring Mts Clark Co; limestone soils 1829-2743m,Central Great Basin,Tonopah Section
Astragalus phoenix,Astragalus,endemic,Threatened,Critically Endangered,BLM Sensitive,,G1,Ash Meadows,Ash Meadows NWR; Amargosa section Mojave; edaphic alkaline clay/silt/sandy-clay 670-700m,Mojave Desert,Amargosa Section
Astragalus porrectus,Astragalus,endemic,,,BLM Sensitive,,G2,Valley Bottoms and Adjacent Foothills,Churchill/Humboldt/Lyon/Pershing/Washoe cos; Lahontan max elev; calcareous/alkaline sandy washes 1265-1738m,Northern Great Basin / Central Great Basin,Lake Section / Reno-Lahontan-Central-Tonopah Sections
Astragalus pterocarpus,Astragalus,endemic,,,BLM Special Status,,G3,Valley Bottoms and Adjacent Foothills,Churchill/Humboldt/Lander/Pershing cos; Black Rock Desert area; alkaline sandy silt/clay 1212-1524m,Northern Great Basin,Lake Section
Astragalus purshii var. pumilio,Astragalus,endemic,,,,,G5,Foothills Mid-slopes,Eureka/Humboldt/Lander/Nye/Pershing cos; Lahontan & Central sections; 1316-2438m,Central Great Basin,Lahontan / Central Sections
Astragalus remotus,Astragalus,endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G2,Spring Mountains,Spring Mts Clark Co southern portion; rocky calcareous soils 1097-1829m,Mojave Desert,East Mountains Section
Astragalus robbinsii var. occidentalis,Astragalus,endemic,,,,Forest Service Region 4 Sensitive,G5,Two or Few Mountain Ranges,Ruby Mts & East Humboldt Range; Elko Co; moist loam/sandy/gravelly soils; aspen/willow/meadow margins 1844-3200m,Central Great Basin,Lahontan Section
Astragalus serenoi var. serenoi,Astragalus,endemic,,,,,G4,Foothills Mid-slopes,Churchill/Lander/Mineral/Nye/Pershing cos; Lahontan/Central/Tonopah sections; 1158-2286m,Central Great Basin,Tonopah Section
Astragalus serenoi var. sordescens,Astragalus,endemic,,,,,G4,Foothills Mid-slopes,Esmeralda & Nye cos; Central & Tonopah sections; 1524-2073m; common name: dirty-flowered naked milkvetch,Central Great Basin,Tonopah Section
Astragalus tiehmii,Astragalus,endemic,,,BLM Sensitive,,G2,Charismatic Edaphic Moderate Elevations,Humboldt & Washoe cos; Lake section NGB; fluviolacustrine ash deposits 1628-1738m; ~85 occurrences 100-250km2,Northern Great Basin,Lake Section
Astragalus toquimanus,Astragalus,endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G2,Two or Few Mountain Ranges,Toquima/Monitor/Hot Creek/Antelope ranges; Nye Co only; volcanic/calcareous soils 1890-2238m,Central Great Basin,Central Section
Atriplex phyllostegia,Atriplex,endemic,,,,,,Valley Bottoms and Adjacent Foothills,Churchill/Humboldt/Lyon/Mineral/Nye/Pershing/Washoe cos; Black Rock Desert & Carson Sink; alkaline flats 1042-1725m,Northern Great Basin,Lake Section
Boechera falcifructa,Boechera,endemic,,,BLM Sensitive,,G2,Foothills,Elko & Lander cos; Central & Bonneville sections; 1625-1756m,Central Great Basin,Central / Bonneville Sections
